transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,timestamp,is_fraud,year,month,day,hour,day_of_week,channel_ATM,channel_Mobile,channel_POS,channel_Web
TXN_204682,CUST_474,1,1644,5749,2025-08-08 14:23:26,0,2025,8,8,14,4,False,False,False,True
TXN_202833,CUST_256,1,1486,59108,2025-11-08 23:53:07,0,2025,11,8,23,5,False,True,False,False
TXN_202270,CUST_157,1,2914,166454,2025-06-08 04:38:58,0,2025,6,8,4,6,False,False,True,False
TXN_203906,CUST_102,0,2578,127506,2025-04-08 23:44:01,1,2025,4,8,23,1,False,False,False,True
TXN_201951,CUST_458,1,1426,19893,2025-12-08 05:05:49,0,2025,12,8,5,0,False,False,True,False
TXN_204721,CUST_143,0,986,5537,2025-11-08 00:39:57,0,2025,11,8,0,5,True,False,False,False
TXN_201026,CUST_715,1,1207,6020,2025-07-08 23:47:11,0,2025,7,8,23,1,False,False,False,True
TXN_202269,CUST_335,1,712,3427,2025-09-08 17:24:41,0,2025,9,8,17,0,False,True,False,False
TXN_204200,CUST_632,1,1443,15258,2025-09-08 07:09:16,0,2025,9,8,7,0,False,True,False,False
TXN_203390,CUST_196,1,2359,8604,2025-04-08 16:34:53,0,2025,4,8,16,1,False,False,False,True
TXN_204919,CUST_202,1,1588,111386,2025-12-08 04:05:53,0,2025,12,8,4,0,False,True,False,False
TXN_203694,CUST_164,1,2615,221241,2025-02-08 16:05:05,0,2025,2,8,16,5,False,False,False,True
TXN_204762,CUST_679,1,2984,212788,2025-11-08 21:02:53,1,2025,11,8,21,5,False,False,False,True
TXN_202122,CUST_175,1,1656,17986,2025-02-08 04:57:25,0,2025,2,8,4,5,False,True,False,False
TXN_200736,CUST_610,0,2092,4039,2025-09-08 14:20:04,1,2025,9,8,14,0,False,False,False,True
TXN_201532,CUST_691,1,2153,291257,2025-10-08 00:03:02,0,2025,10,8,0,2,False,False,False,True
TXN_204199,CUST_401,0,2597,246817,2025-01-08 15:21:51,0,2025,1,8,15,2,False,False,True,False
TXN_201606,CUST_315,0,1561,4322,2025-06-08 16:51:27,0,2025,6,8,16,6,False,False,True,False
TXN_203934,CUST_309,1,1738,6583,2025-10-08 00:28:07,0,2025,10,8,0,2,False,False,False,True
TXN_203895,CUST_317,1,980,3174,2025-09-08 00:09:21,0,2025,9,8,0,0,False,False,False,True
TXN_202728,CUST_115,1,2125,10476,2025-01-08 02:17:33,0,2025,1,8,2,2,False,True,False,False
TXN_202890,CUST_308,1,1957,16735,2025-05-08 12:12:59,0,2025,5,8,12,3,False,True,False,False
TXN_204450,CUST_235,0,2199,18699,2025-06-08 20:05:19,0,2025,6,8,20,6,False,False,False,True
TXN_202002,CUST_319,1,807,7647,2025-07-08 11:08:01,0,2025,7,8,11,1,False,False,True,False
TXN_204681,CUST_766,1,2216,5005,2025-12-08 22:06:27,0,2025,12,8,22,0,True,False,False,False
TXN_203653,CUST_720,1,179,15768,2025-03-08 04:50:02,0,2025,3,8,4,5,False,False,False,True
TXN_203343,CUST_434,1,790,16145,2025-04-08 17:31:56,0,2025,4,8,17,1,False,True,False,False
TXN_203735,CUST_785,1,2144,8384,2025-02-08 21:48:13,0,2025,2,8,21,5,False,True,False,False
TXN_202562,CUST_634,1,1577,5836,2025-11-08 19:26:32,0,2025,11,8,19,5,False,True,False,False
TXN_201178,CUST_461,1,2869,12346,2025-06-08 17:41:53,0,2025,6,8,17,6,True,False,False,False
TXN_200057,CUST_755,1,151,14898,2025-03-08 15:31:07,0,2025,3,8,15,5,False,True,False,False
TXN_203639,CUST_635,1,1559,6872,2025-09-08 19:35:34,0,2025,9,8,19,0,False,False,False,True
TXN_200221,CUST_300,1,1437,5806,2025-10-08 13:46:19,0,2025,10,8,13,2,False,True,False,False
TXN_204667,CUST_456,1,1750,5121,2025-10-08 16:54:12,0,2025,10,8,16,2,False,True,False,False
TXN_201705,CUST_401,1,1807,3734,2025-09-08 00:07:59,0,2025,9,8,0,0,False,False,False,True
